ID,event_id,mortality_signal
LA-2023-22,27188748913,1
LA-2023-22,27188748916,1
LA-2023-22,27219985216,1
LA-2023-22,27219985219,1
LA-2023-24,25253921235,0
LA-2023-24,25253921242,0
LA-2023-24,25358411540,0
LA-2023-24,25253921268,0
LA-2023-24,25386445325,0
LA-2023-24,25434268952,0
LA-2023-24,25649052126,0
LA-2023-24,25649052133,0
LA-2023-24,25700295763,0
LA-2023-24,25700295771,0
LA-2023-24,25700295779,0
LA-2023-24,25700295782,0
LA-2023-25,25253921256,0
LA-2023-25,25386445303,0
LA-2023-25,25386445326,0
LA-2023-25,25434268953,0
LA-2023-25,25649052134,0
LA-2023-25,25649052140,0
LA-2023-25,25700295772,0
LA-2023-25,25700295783,0
LA-2023-25,25882162687,0
LA-2023-25,25700295791,0
LA-2023-25,25882162695,0
LA-2023-25,25882162701,0
LA-2023-25,25930755458,0
LA-2023-25,25930755462,0
LA-2023-25,25930755467,0
LA-2023-25,25930755474,0
LA-2023-25,25989686408,0
LA-2023-25,25989686415,0
LA-2023-25,26089801681,0
LA-2023-25,25989686428,0
LA-2023-25,26089801683,0
LA-2023-25,26089801687,0
LA-2023-25,26352675851,0
LA-2023-25,26352675855,0
LA-2023-25,26352675860,0
LA-2023-25,26352675863,0
LA-2023-25,26384270473,0
LA-2023-25,26384270475,0
LA-2023-25,26463814783,0
LA-2023-25,26463814785,0
LA-2023-25,26725039668,0
LA-2023-25,26696776118,0
LA-2023-25,26725039670,0
LA-2023-25,26696776149,0
LA-2023-25,26725039680,0
LA-2023-25,26725039687,0
LA-2023-25,26782877218,0
LA-2023-25,26972452418,0
LA-2023-25,26972452422,0
LA-2023-25,27166273100,0
LA-2023-25,27166273104,0
LA-2023-25,27166273110,0
LA-2023-25,27166273113,0
LA-2023-25,27188748917,0
LA-2023-25,27188748926,0
LA-2023-25,27219985220,0
LA-2023-25,27219985226,0
LA-2023-25,27219985233,0
LA-2023-25,27219985237,0
LA-2023-25,27318526855,0
LA-2023-25,27507217591,0
LA-2023-25,27507217600,0
LA-2023-25,27507217603,0
LA-2023-25,27507217611,0
LA-2023-25,28738981606,0
LA-2023-28,25253921241,1
LA-2023-28,25649052113,1
LA-2023-28,25649052119,1
LA-2023-28,25649052128,1
LA-2023-28,25989686381,1
LA-2023-32,25358411567,0
LA-2023-32,25358411568,0
LA-2023-32,25358411570,0
LA-2023-32,25358411571,0
LA-2023-32,25358411572,1
LA-2023-32,25386445310,1
LA-2023-32,25386445313,1
LA-2023-32,25386445318,1
LA-2023-32,25386445321,1
LA-2023-32,25386445323,1
LA-2023-32,25386445324,1
LA-2023-32,25386445327,1
LA-2023-32,25386445328,1
LA-2023-32,25434268901,1
LA-2023-32,25434268904,1
LA-2023-32,25434268907,1
LA-2023-32,25434268911,1
LA-2023-32,25434268916,1
LA-2023-32,25434268920,1
LA-2023-32,25434268926,1
LA-2023-32,25434268931,1
LA-2023-32,25434268935,1
LA-2023-32,25434268939,1
LA-2023-32,25434268943,1
LA-2023-32,25434268947,1
LA-2023-32,25434268949,1
LA-2023-32,25434268961,1
LA-2023-32,25501552311,1
LA-2023-32,25501552314,1
LA-2023-33,25700295757,0
LA-2023-33,25700295767,0
LA-2023-33,25649052142,0
LA-2023-33,25700295778,0
LA-2023-33,25700295784,0
LA-2023-33,25882162699,0
LA-2023-33,25882162708,0
LA-2023-33,25882162714,0
LA-2023-33,25930755460,0
LA-2023-33,25930755464,0
LA-2023-33,25930755470,0
LA-2023-33,25930755475,0
LA-2023-33,25989686411,0
LA-2023-33,25989686419,0
LA-2023-33,26167829738,0
LA-2023-33,26167829741,0
LA-2023-33,26352675853,0
LA-2023-33,26352675858,0
LA-2023-33,26533471751,0
LA-2023-33,26533471753,0
LA-2023-33,26533471755,0
LA-2023-33,26533471757,0
LA-2023-33,26533471760,0
LA-2023-33,26533471763,0
LA-2023-33,26602609928,0
LA-2023-33,26602609930,0
LA-2023-33,26601063478,0
LA-2023-33,26601063480,0
LA-2023-33,26696776110,0
LA-2023-33,26696776111,0
LA-2023-33,26696776125,0
LA-2023-33,26696776131,0
LA-2023-33,26725039674,0
LA-2023-33,26725039675,0
LA-2023-33,26782877213,0
LA-2023-33,26782877215,0
LA-2023-33,26782877216,0
LA-2023-33,26782877219,0
LA-2023-33,26972452414,0
LA-2023-33,26972452419,0
LA-2023-33,27219985206,0
LA-2023-33,27219985207,0
LA-2023-33,27219985208,0
LA-2023-33,27219985211,0
LA-2023-33,27219985213,0
LA-2023-33,27219985217,0
LA-2023-33,27219985221,0
LA-2023-33,27219985227,0
LA-2023-33,27507217590,0
LA-2023-33,27507217592,0
LA-2023-33,28105034863,0
LA-2023-33,28105034864,0
LA-2023-33,28105034866,0
LA-2023-33,28105034868,0
LA-2023-33,29275834781,0
LA-2023-33,29275834782,0
LA-2023-33,29465046199,0
LA-2023-33,29275834783,0
LA-2023-33,29465046200,0
LA-2023-33,29275834784,0
LA-2023-33,29275834785,0
LA-2023-33,29275834787,0
